Countrycode,City,Type,Quarter,Variable,Value,Note
208,Copenhagen,Metro,1Q2016,PKM,80000,
208,Copenhagen,Metro,1Q2017,PKM,86000,
208,Copenhagen,Metro,2Q2010,PKM,55000,
208,Copenhagen,Metro,2Q2011,PKM,65000,
208,Copenhagen,Metro,2Q2012,PKM,64000,
208,Copenhagen,Metro,2Q2013,PKM,73000,
208,Copenhagen,Metro,2Q2014,PKM,74000,
208,Copenhagen,Metro,2Q2015,PKM,75000,
208,Copenhagen,Metro,2Q2016,PKM,82000,
208,Copenhagen,Metro,2Q2017,PKM,84000,
208,Copenhagen,Metro,3Q2010,PKM,56000,
208,Copenhagen,Metro,3Q2011,PKM,67000,
208,Copenhagen,Metro,3Q2012,PKM,65000,
208,Copenhagen,Metro,3Q2013,PKM,64000,
208,Copenhagen,Metro,3Q2014,PKM,68000,
208,Copenhagen,Metro,3Q2015,PKM,70000,
208,Copenhagen,Metro,3Q2016,PKM,76000,
208,Copenhagen,Metro,3Q2017,PKM,80000,
208,Copenhagen,Metro,4Q2010,PKM,68000,
208,Copenhagen,Metro,4Q2011,PKM,75000,
208,Copenhagen,Metro,4Q2012,PKM,76000,
208,Copenhagen,Metro,4Q2013,PKM,74000,
208,Copenhagen,Metro,4Q2014,PKM,77000,
208,Copenhagen,Metro,4Q2015,PKM,81000,
208,Copenhagen,Metro,4Q2016,PKM,84000,
208,Copenhagen,Metro,4Q2017,PKM,91000,
233,Tallinn,Tram,1Q2019,Pass,7290,
233,Tallinn,Tram,2Q2019,Pass,7745,
233,Tallinn,Tram,3Q2019,Pass,7074,
233,Tallinn,Tram,4Q2019,Pass,7703,
233,Tallinn,Tram,1Q2020,Pass,5885,
233,Tallinn,Tram,2Q2020,Pass,2254,
233,Tallinn,Tram,3Q2020,Pass,4816,
233,Tallinn,Tram,4Q2020,Pass,4259,
233,Tallinn,Tram,1Q2021,Pass,2740,
233,Tallinn,Tram,2Q2021,Pass,2982,
233,Tallinn,Tram,3Q2021,Pass,3937,
233,Tallinn,Tram,1Q2019,PKM,21359,
233,Tallinn,Tram,2Q2019,PKM,22693,
233,Tallinn,Tram,3Q2019,PKM,20725,
233,Tallinn,Tram,4Q2019,PKM,22570,
233,Tallinn,Tram,1Q2020,PKM,17243,
233,Tallinn,Tram,2Q2020,PKM,6603,
233,Tallinn,Tram,3Q2020,PKM,14110,
233,Tallinn,Tram,4Q2020,PKM,12477,
233,Tallinn,Tram,1Q2021,PKM,8028,
233,Tallinn,Tram,2Q2021,PKM,8736,
233,Tallinn,Tram,3Q2021,PKM,11535,
246,Helsinki,Metro,1Q2019,Pass,23184,
246,Helsinki,Metro,2Q2019,Pass,22645,
246,Helsinki,Metro,3Q2019,Pass,22031,
246,Helsinki,Metro,4Q2019,Pass,24703,
246,Helsinki,Metro,1Q2020,Pass,21062,
246,Helsinki,Metro,2Q2020,Pass,9638,
246,Helsinki,Metro,3Q2020,Pass,15113,
246,Helsinki,Metro,4Q2020,Pass,14554,
246,Helsinki,Metro,1Q2021,Pass,12361,
246,Helsinki,Metro,2Q2021,Pass,12824,
246,Helsinki,Metro,3Q2021,Pass,13817,
246,Helsinki,Metro,4Q2021,Pass,16965,
246,Helsinki,Tram,1Q2019,Pass,14879,
246,Helsinki,Tram,2Q2019,Pass,13718,
246,Helsinki,Tram,3Q2019,Pass,12645,
246,Helsinki,Tram,4Q2019,Pass,15522,
246,Helsinki,Tram,1Q2020,Pass,13390,
246,Helsinki,Tram,2Q2020,Pass,5301,
246,Helsinki,Tram,3Q2020,Pass,8554,
246,Helsinki,Tram,4Q2020,Pass,7634,
246,Helsinki,Tram,1Q2021,Pass,6952,
246,Helsinki,Tram,2Q2021,Pass,6658,
246,Helsinki,Tram,3Q2021,Pass,7731,
246,Helsinki,Tram,4Q2021,Pass,10189,
246,Tampere,Tram,4Q2021,Pass,2502,
250,Paris,Metro,1Q2020,PKM,1357310,
250,Paris,Metro,2Q2020,PKM,406760,
250,Paris,Metro,3Q2020,PKM,1171490,
250,Paris,Metro,4Q2020,PKM,988930,
250,Paris,Metro,1Q2021,PKM,1031700,
250,Paris,Metro,2Q2021,PKM,1125800,
250,Paris,Metro,3Q2021,PKM,1383500,
268,Tbilisi,Metro,1Q2019,Pass,32300,
268,Tbilisi,Metro,2Q2019,Pass,36000,
268,Tbilisi,Metro,3Q2019,Pass,29600,
268,Tbilisi,Metro,4Q2019,Pass,39800,
268,Tbilisi,Metro,1Q2020,Pass,28000,
268,Tbilisi,Metro,2Q2020,Pass,6600,
268,Tbilisi,Metro,1Q2019,PKM,206700,
268,Tbilisi,Metro,2Q2019,PKM,230500,
268,Tbilisi,Metro,3Q2019,PKM,189400,
268,Tbilisi,Metro,4Q2019,PKM,254500,
